iter	Logloss
0	0.6572718188
1	0.6247545434
2	0.596310137
3	0.570022003
4	0.5483303945
5	0.5293439732
6	0.5110982854
7	0.4974204699
8	0.4817666364
9	0.4693346884
10	0.4590479893
11	0.4505049044
12	0.4449912445
13	0.4366674142
14	0.4301585106
15	0.4249033468
16	0.4189907587
17	0.4134063335
18	0.4076948241
19	0.4025611823
20	0.3982499906
21	0.3957369051
22	0.3918574437
23	0.3899307321
24	0.3863126417
25	0.3832788655
26	0.3802588429
27	0.3769013613
28	0.3740126882
29	0.3720245636
30	0.3700193394
31	0.3681596189
32	0.3658616841
33	0.3645224373
34	0.3632968571
35	0.3617793001
36	0.3604760479
37	0.3587388915
38	0.3573700443
39	0.3560113102
40	0.3548011709
41	0.3541311115
42	0.3526850892
43	0.3517078084
44	0.3507561239
45	0.350349197
46	0.3493447932
47	0.3483664574
48	0.3476284162
49	0.3468397429
50	0.3460641757
51	0.344933631
52	0.3441646098
53	0.3431465025
54	0.3426667109
55	0.3420800737
56	0.3411220466
57	0.3400539803
58	0.3394618159
59	0.338920905
60	0.3384925708
61	0.3381268739
62	0.3374230622
63	0.3365861227
64	0.3355867518
65	0.3351797021
66	0.3346273381
67	0.3340128271
68	0.3333585366
69	0.3329143844
70	0.3324097074
71	0.3318867656
72	0.3315017667
73	0.3314200455
74	0.330626682
75	0.3300783423
76	0.3294486823
77	0.3287094564
78	0.3281309101
79	0.3277481665
80	0.3273324957
81	0.3268481873
82	0.3263169114
83	0.3258531185
84	0.3252303937
85	0.3244373053
86	0.3237408333
87	0.3230661384
88	0.3226736108
89	0.3218239166
90	0.3214196145
91	0.3208767728
92	0.3201461927
93	0.3196206804
94	0.3192967674
95	0.3189640098
96	0.3186449276
97	0.3182277892
98	0.3178645654
99	0.3173996865
100	0.3172636228
101	0.317070853
102	0.3165049108
103	0.3161807294
104	0.3159850305
105	0.3159368374
106	0.3156989918
107	0.3152378366
108	0.3147865707
109	0.3144625401
110	0.3138165815
111	0.3134641472
112	0.3130711408
113	0.3130710283
114	0.3130596128
115	0.3125940257
116	0.3121991099
117	0.3118915893
118	0.3113294471
119	0.3111002775
120	0.3106901421
121	0.3103190616
122	0.3101085317
123	0.3097736151
124	0.3095898959
125	0.3093305277
126	0.3088118374
127	0.3083776886
128	0.3081417158
129	0.3076933976
130	0.3073398362
131	0.306995866
132	0.3065390267
133	0.306402717
134	0.3059569216
135	0.3058021709
136	0.3054750316
137	0.3050985424
138	0.3047549023
139	0.3044743056
140	0.304239597
141	0.3040006267
142	0.303687101
143	0.3033572705
144	0.3031090307
145	0.3027824668
146	0.3026095137
147	0.3024326995
148	0.3020959552
149	0.302052249
150	0.3017391811
151	0.3015508119
152	0.3011244051
153	0.300956237
154	0.3007492784
155	0.300510129
156	0.3003114922
157	0.2998030517
158	0.2996890872
159	0.2994311268
160	0.2991386057
161	0.2989149796
162	0.2986704848
163	0.2983742043
164	0.298137161
165	0.2977739391
166	0.2975128502
167	0.2972678926
168	0.2969668733
169	0.2966625469
170	0.2963706746
171	0.2960720526
172	0.2959999246
173	0.2956023212
174	0.2953609407
175	0.2950238549
176	0.2947357661
177	0.2944756152
178	0.2941578007
179	0.2939788698
180	0.2937407664
181	0.2931391003
182	0.2928419754
183	0.2925789037
184	0.2921685045
185	0.2918910948
186	0.2917156983
187	0.2914535135
188	0.2911368795
189	0.290845728
190	0.290440198
191	0.2902459469
192	0.29007088
193	0.2896347697
194	0.2893769285
195	0.2890931692
196	0.2888749961
197	0.288570786
198	0.2883444318
199	0.2881778552
